доступный;56;81
цена;223;395
хороший;1812;1013
качество;244;156
начинать;383;480
чернеть;2;1
пробег;10;11
хорошо;877;523
справляться;24;18
работа;1140;2282
быстрый;157;140
доставка;33;21
курьер;10;9
отличный;386;79
прайс;3;2
замечательный;212;51
часы;214;298
муж;589;669
очень;1606;1856
понравиться;246;118
внешний;142;72
вид;2532;5283
надёжность;12;7
противоударность;3;1
водозащита;3;1
класный;10;5
ремешок;3;6
сборка;23;11
исполнение;66;42
нравиться;652;468
приемлемый;39;25
точность;34;53
момент;380;373
покупка;52;30
японский;42;47
иена;15;65
год;4494;5979
глюк;12;22
не;17636;28863
быть;7344;7375
пользоваться;182;411
самый;1528;1359
разнообразный;27;7
условие;190;143
космос;40;47
бывать;540;739
смена;52;73
батарейка;10;17
примерно;81;56
стильный;25;20
дизайн;70;42
неубиваемость;2;1
противоударный;2;1
многофункциональный;6;2
плюс;86;81
удобный;82;68
неубивать;2;1
подсветка;5;5
жаловаться;36;80
светодиодный;3;1
люминисцентный;2;1
фанарик;2;1
использовать;259;298
там;1339;1705
квартира;95;133
подъезд;33;39
свет;547;599
нет;1742;3872
практически;187;197
снимать;108;71
ночь;730;680
всегда;750;761
душить;236;299
бассейн;28;25
ходить;2086;5009
вообщий;36;22
стоять;414;895
деньга;248;464
функционал;28;48
огромный;238;155
таймер;4;1
секундомер;2;1
потрясающе;12;1
выглядеть;139;94
пожалеть;29;34
классный;210;120
мощный;92;63
крепкий;46;28
обнаружение;13;8
долгий;94;94
время;1469;1545
качественный;58;129
звук;132;113
последний;572;945
довольный;98;70
абсолютно;63;76
красивый;294;201
функциональный;18;14
количество;230;198
наушник;78;113
итог;222;224
музыка;305;227
соня;21;17
х;16614;27213
аирподс;2;1
походный;2;1
вариант;117;111
лекция;55;48
простой;179;146
стиль;94;68
минималистичный;2;1
красиво;95;55
приятно;286;159
моментальный;7;2
соединение;51;76
первое;255;174
включение;11;12
микрофон;13;9
адекватный;32;46
есть;2745;3052
здесь;373;234
супер;172;107
меломан;4;1
ценитель;4;3
взять;511;464
повседнев;18;32
число;316;381
руль;27;42
шикарно;31;14
работать;597;1054
максимально;27;18
чрезвычайно;32;20
приятный;262;271
функция;39;40
выключение;2;7
вынимать;3;2
принцип;183;199
аккумулятор;28;11
достаточно;153;155
долго;276;577
держать;435;1003
вместе;396;296
чехол;16;19
отлично;219;97
страх;105;229
потерять;119;290
удовольствие;108;81
использование;119;91
полностью;223;152
оправдывать;17;43
затрата;15;12
удобно;67;91
реально;303;448
ни;15082;25741
ухо;463;933
выпадать;11;12
проводной;5;2
версия;103;162
добивать;21;96
далеко;96;148
отсутствие;103;73
необходимость;88;85
развязывать;2;5
узел;30;12
заряд;94;105
чехольчик;3;1
удобство;28;20
целое;151;138
высокий;373;215
повышать;14;49
автономность;4;2
компактность;4;1
нужный;376;452
вещь;52;39
шагомер;2;1
лаконичный;7;3
забота;26;23
владелец;26;54
анализ;79;172
сон;632;929
вибрировать;6;3
рука;472;531
будильник;27;53
вибрация;10;1
звонок;62;74
телефон;305;536
крутой;253;142
браслет;10;13
умный;154;229
особенно;307;334
получение;65;45
уведомление;10;16
товар;141;228
достойный;76;86
соответствовать;51;25
весь;3724;3375
