доступный;12;7
цена;75;58
хороший;1499;836
качество;71;55
начинать;151;206
чернеть;1;0
10-12;2;2
пробег;4;4
хорошо;702;381
справляться;16;4
работа;350;629
быстрый;95;99
доставка;11;13
курьер;5;3
отличный;342;71
прайс;2;1
замечательный;174;42
часы;148;215
муж;85;51
очень;1205;1561
понравиться;225;109
внешний;12;8
вид;121;74
надёжность;2;0
противоударность;2;0
водозащита;2;0
класный;9;4
ремешок;2;4
сборка;17;10
исполнение;29;10
нравиться;395;294
приемлемый;5;0
точность;4;1
момент;167;208
покупка;37;19
японский;16;10
иена;1;0
год;951;1242
глюк;7;10
не;9051;16852
быть;4773;5090
пользоваться;72;57
самый;892;954
разнообразный;3;1
условие;12;15
космос;20;9
бывать;167;157
смена;22;40
батарейка;7;16
примерно;37;27
стильный;19;0
дизайн;45;21
неубиваемость;1;0
противоударный;1;0
многофункциональный;2;0
плюс;58;47
удобный;52;21
неубивать;1;0
подсветка;3;4
жаловаться;20;28
светодиодный;1;0
люминисцентный;1;0
фанарик;1;0
использовать;49;21
там;920;909
квартира;73;111
подъезд;22;20
свет;111;126
нет;831;2014
практически;33;30
снимать;59;32
ночь;533;368
всегда;535;571
душить;48;90
бассейн;14;18
ходить;284;354
вообщий;32;15
стоять;97;103
деньга;157;306
функционал;4;10
огромный;104;79
таймер;3;0
секундомер;1;0
потрясающе;10;0
выглядеть;87;60
пожалеть;23;33
классный;180;102
мощный;20;10
крепкий;18;14
обнаружение;1;0
долгий;38;53
время;658;905
качественный;23;6
звук;50;37
последний;281;674
довольный;70;10
абсолютно;28;39
красивый;236;145
функциональный;2;1
количество;29;41
наушник;65;105
итог;82;92
музыка;226;130
соня;18;11
х;322;68
аирподс;1;0
-;2865;2610
походный;1;0
вариант;57;57
лекция;20;31
простой;94;74
стиль;49;16
apple;13;10
минималистичный;1;0
красиво;75;38
приятно;235;43
моментальный;2;0
соединение;4;2
первое;122;98
включение;6;7
микрофон;11;8
адекватный;15;11
есть;1146;870
здесь;137;112
супер;91;45
меломан;3;0
ценитель;1;0
взять;216;214
повседнев;1;0
число;76;104
руль;13;14
шикарно;21;11
работать;278;470
максимально;6;1
чрезвычайно;5;1
приятный;177;44
функция;14;11
выключение;1;2
